개체1,액션1,감정1,URL
"무궁화 꽃이 피었습니다, 오징어 게임",,,https://jjalbang.today/files/jjalbox/2021/09/20210930_6155edbf8e200.gif
"병진이형, 해바라기, 오태식",,,https://jjalbang.today/files/jjalbox/2021/10/20211024_6174f451a9c36.gif
"이병헌, 흑역사, 춤",,,https://jjalbang.today/files/jjalbox/2017/12/20171209_5a2b58adec04a.gif
"라이언,춤",,,https://jjalbang.today/files/jjalbox/2018/09/20180920_5ba2fb04ccfca.gif
편안,"답답,답답하다",,https://jjalbang.today/files/jjalbox/2016/10/20161011_57fc916a9fb25.jpg
,개허탈,,https://jjalbang.today/files/jjalbox/2015/04/20150403_551e654b5268b.jpg
"마동석,망치,오함마",,,https://jjalbang.today/files/jjalbox/2015/03/90_55169b74b8aab_2804.png
멱살,,,https://jjalbang.today/files/jjalbox/2015/03/90_55169e9b84d69_2525.jpg
"멘붕,좌절,짜증",답답,,https://jjalbang.today/files/jjalbox/2015/03/92_55169b46a1a76_2833.jpg
"지랄, 한석규,ㅈㄹ",,,https://jjalbang.today/files/jjalbox/2015/03/90_55169e772b4f8_2641.gif
"지랄, 염병",,분노,https://jjalbang.today/files/jjalbox/2015/03/90_55169c2a5dfe2_2668.jpg
"미안,죄송",,,https://jjalbang.today/files/jjalbox/2015/03/106_5516a367c86bf_2545.jpg
"미안,죄송",,,https://jjalbang.today/files/jjalbox/2015/03/106_5516a36664886_2547.jpg
"트럭,여고생,미안,죄송",,,https://jjalbang.today/files/jjalbox/2020/09/20200929_5f72e1790cde4.jpg
"ㅗ,뻐큐,송강호",,,https://jjalbang.today/files/jjalbox/2015/03/90_55169e8f0d455_2508.jpg
"입, 입술, 닥쳐",,,https://jjalbang.today/files/jjalbox/2016/08/20160812_57adc3d7550b9.jpg
해리포터,빡침,,https://jjalbang.today/files/jjalbox/2015/03/85_55169cac3a9d6_1063.gif
"백종원, 맛",,,https://jjalbang.today/files/jjalbox/2017/12/20171224_5a3f318a020bf.jpg
"박명수, 좌절",,슬픔,https://jjalbang.today/files/jjalbox/2016/09/20160912_57d65502e8f83.jpg
개구리,엄지척,,https://jjalbang.today/files/jjalbox/2015/11/20151123_5652bae3d2fd5.jpg
"귀귀,노답,절레",,,https://jjalbang.today/files/jjalbox/2017/12/20171221_5a3a84756af8e.jpg
"젖소,졋소",,,https://jjalbang.today/files/jjalbox/2016/08/20160822_57ba60f9c5d45.jpg
"참을인,인내",참자,,https://jjalbang.today/files/jjalbox/2016/08/20160812_57adc25f64143.jpg
유재석,개좋아,,https://jjalbang.today/files/jjalbox/2015/08/20150818_55d20da963036.jpg
